"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"10:22:17.4507391 AM","sample_create_window.exe","8296","Load Image","C:\Windows\System32\kernel.appcore.dll","SUCCESS","Image Base: 0x7ff847ad0000, Image Size: 0x12000"
"10:22:17.4508709 AM","sample_create_window.exe","8296","CloseFile","C:\Windows\System32\kernel.appcore.dll","SUCCESS",""
"10:22:17.4512427 AM","sample_create_window.exe","8296","Load Image","C:\Windows\System32\bcryptprimitives.dll","SUCCESS","Image Base: 0x7ff8492a0000, Image Size: 0x82000"
"10:22:17.4515223 AM","sample_create_window.exe","8296","RegOpenKey","HKLM\System\CurrentControlSet\Control\Lsa\FipsAlgorithmPolicy","REPARSE","Desired Access: Query Value"
"10:22:17.4515610 AM","sample_create_window.exe","8296","RegOpenKey","HKLM\System\CurrentControlSet\Control\Lsa\FipsAlgorithmPolicy","SUCCESS","Desired Access: Query Value"
"10:22:17.4516046 AM","sample_create_window.exe","8296","RegQueryValue","HKLM\System\CurrentControlSet\Control\Lsa\FipsAlgorithmPolicy\STE","NAME NOT FOUND","Length: 20"
"10:22:17.4516442 AM","sample_create_window.exe","8296","RegCloseKey","HKLM\System\CurrentControlSet\Control\Lsa\FipsAlgorithmPolicy","SUCCESS",""
"10:22:17.4517060 AM","sample_create_window.exe","8296","RegOpenKey","HKLM\System\CurrentControlSet\Control\Lsa\FipsAlgorithmPolicy","REPARSE","Desired Access: Query Value"
"10:22:17.4517447 AM","sample_create_window.exe","8296","RegOpenKey","HKLM\System\CurrentControlSet\Control\Lsa\FipsAlgorithmPolicy","SUCCESS","Desired Access: Query Value"
"10:22:17.4518007 AM","sample_create_window.exe","8296","RegQueryValue","HKLM\System\CurrentControlSet\Control\Lsa\FipsAlgorithmPolicy\Enabled","SUCCESS","Type: REG_DWORD, Length: 4, Data: 0"
"10:22:17.4518462 AM","sample_create_window.exe","8296","RegOpenKey","HKLM\System\CurrentControlSet\Control\Lsa","REPARSE","Desired Access: Query Value"
